arm,mirror,v_um_s,n_seeds,attach,A_TZx,A_TZx_sem,mean_xi_nm,sem_xi,mean_theta_rad,sem_theta,tau_Nm,sem_tau,omega_rad_s,sem_omega,turns_per_um,avg_bound,attach_rate_hz,shadow_mean_xi_nm
v=0.25,+1,0.2500,8,609,0.0385,0.0511,-0.0243,0.1161,-0.02319,0.02502,-7.3536e-22,7.5820e-22,-24.834,18.900,-15.8095,2.895,2342.31,nan
v=0.50,+1,0.5000,8,608,-0.0112,0.0366,-0.0624,0.0690,-0.00427,0.02908,-3.9057e-22,6.6802e-22,-23.100,18.829,-7.3530,2.992,2338.46,nan
v=1.00,+1,1.0000,8,642,0.0271,0.0353,-0.1261,0.0886,0.02591,0.01310,-1.1922e-21,5.7848e-22,-34.994,14.699,-5.5695,2.999,2469.23,nan
v=2.00,+1,2.0000,8,629,-0.0232,0.0515,0.0789,0.1201,0.02177,0.01909,-1.8793e-21,8.8660e-22,-42.847,23.397,-3.4096,2.680,2419.23,nan
v=4.00,+1,4.0000,8,639,-0.0213,0.0476,0.0532,0.1076,0.03730,0.01912,-2.5812e-21,1.3192e-21,-45.937,16.120,-1.8278,2.253,2457.69,nan
