arm,mirror,v_um_s,n_seeds,attach,A_TZx,A_TZx_sem,mean_xi_nm,sem_xi,mean_theta_rad,sem_theta,tau_Nm,sem_tau,omega_rad_s,sem_omega,turns_per_um,avg_bound,attach_rate_hz,shadow_mean_xi_nm
graded native,+1,2.0000,8,629,-0.0232,0.0515,0.0789,0.1201,0.02177,0.01909,-1.8793e-21,8.8660e-22,-42.847,23.397,-3.4096,2.680,2419.23,nan
graded MIRRORED,-1,2.0000,8,644,-0.0883,0.0184,0.1702,0.0882,-0.00166,0.01484,-1.3533e-21,3.6181e-22,-40.171,10.770,-3.1967,2.773,2476.92,nan
angular-neutral native,+1,2.0000,8,1628,-0.0632,0.0231,0.0970,0.0304,-0.05148,0.03690,-3.9213e-21,1.6659e-21,-132.041,47.978,-10.5075,7.721,6261.54,nan
angular-neutral MIRRORED,-1,2.0000,8,1623,-0.0675,0.0214,0.1106,0.0265,0.01898,0.02459,-4.3555e-21,8.7716e-22,-134.807,33.749,-10.7276,7.766,6242.31,nan
