# sweep1: tip_pN_per_nm,peak_over_stall
S1,0.350,2.0463
S1,0.500,1.4324
S1,0.750,0.9549
S1,1.000,0.7162
S1,1.500,0.4775
S1,2.000,0.3581
S1,2.600,0.2755
S1,3.000,0.2387
# sweep2a: angle_deg,stroke_nm,stall_pN
S2A,45.0,6.1229,6.2832
S2A,55.0,7.3880,7.6794
S2A,60.0,8.0000,8.3776
S2A,65.0,8.5968,9.0757
S2A,70.0,9.1772,9.7738
S2A,80.0,10.2846,11.1701
# sweep2b: angle_deg,stall_pN_fixed_stroke
S2B,45.0,8.2094
S2B,55.0,8.3156
S2B,60.0,8.3776
S2B,65.0,8.4457
S2B,70.0,8.5201
S2B,80.0,8.6888
