arm,n_seeds,attach_total,A_TZ,A_TZ_sem,A_TZ_sigma,mean_delta,mean_delta_sem,mean_delta_sigma,tau_Nm,tau_Nm_sem,tau_Nm_sigma,omega_rad_s,omega_rad_s_sem,omega_rad_s_sigma,turns_per_um,turns_per_um_sem,turns_per_um_sigma,avg_bound,avg_bound_sem,avg_bound_sigma,attach_rate_hz,attach_rate_hz_sem,attach_rate_hz_sigma,tau_per_attach,tau_per_attach_sem,tau_per_attach_sigma,impulse_per_attach,impulse_per_attach_sem,impulse_per_attach_sigma,sign_agree_tau,sign_agree_omega,r_ATZ_tau,r_ATZ_omega
zone=20 v=1.0,4,574,0.138547,0.0399763,3.47,-0.036836,0.0130508,2.82,1.36521e-21,1.66576e-21,0.82,24.8257,54.5414,0.455,3.95113,8.68053,0.455,6.79335,0.978963,6.94,3188.89,353.99,9.01,6.21889e-22,3.31911e-22,1.87,5.6015e-25,3.57241e-25,1.57,0,0,0.6863,0.6661
zone=20 v=2.0,4,610,0.196505,0.0540095,3.64,-0.0430345,0.0075356,5.71,-3.60327e-22,1.34033e-21,0.269,-30.4298,41.9657,0.725,-2.42153,3.33952,0.725,5.6178,0.718195,7.82,3388.89,320.686,10.6,7.80514e-22,3.70575e-22,2.11,1.46963e-25,3.57596e-25,0.411,0,-2,0.0767,0.2569
zone=20 v=4.0,4,683,0.130341,0.0522573,2.49,-0.032452,0.00759715,4.27,-3.83339e-22,2.38254e-21,0.161,-36.1366,67.2791,0.537,-1.43783,2.67695,0.537,5.26422,0.890651,5.91,3794.44,362.022,10.5,6.91894e-22,3.25647e-22,2.12,2.6354e-26,5.32343e-25,0.0495,0,0,-0.4096,-0.4196
zone=40 v=1.0,4,675,0.250503,0.029604,8.46,-0.146892,0.012152,12.1,3.74701e-21,1.60257e-21,2.34,104.432,53.5926,1.95,16.6209,8.52953,1.95,7.12437,0.70174,10.2,3750,489.761,7.66,-4.36565e-22,5.83635e-22,0.748,1.06816e-24,1.96804e-25,5.43,4,2,-0.7479,-0.7703
zone=40 v=2.0,4,676,0.199717,0.0452429,4.41,-0.0980473,0.0252095,3.89,4.58575e-21,1.12431e-21,4.08,127.013,39.7306,3.2,10.1074,3.16166,3.2,7.47535,0.975233,7.67,3755.56,402.87,9.32,2.05421e-22,6.19982e-22,0.331,1.27427e-24,2.56262e-25,4.97,4,4,-0.2426,-0.2077
zone=40 v=4.0,4,701,0.213745,0.0195915,10.9,-0.112806,0.00939298,12,4.16922e-21,9.55997e-22,4.36,109.788,43.5289,2.52,4.36833,1.73196,2.52,6.23015,0.768812,8.1,3894.44,479.487,8.12,6.40488e-23,2.88765e-22,0.222,1.09548e-24,9.57886e-26,11.4,4,4,0.9867,0.9284
zone=70 v=1.0,4,693,0.018454,0.041246,0.447,-0.0334845,0.0442138,0.757,6.77088e-21,6.19667e-22,10.9,207.927,23.8386,8.72,33.0927,3.79403,8.72,9.00453,1.10381,8.16,3850,486.643,7.91,8.0391e-22,4.31075e-22,1.86,1.63177e-24,1.5083e-25,10.8,4,4,0.8218,0.8568
zone=70 v=2.0,4,693,-0.0131598,0.058456,0.225,-0.00521825,0.0473847,0.11,7.28362e-21,1.26923e-21,5.74,225.503,42.8262,5.27,17.9449,3.408,5.27,8.97433,1.18659,7.56,3850,488.668,7.88,8.23143e-22,3.86344e-22,2.13,1.71803e-24,1.49795e-25,11.5,4,4,0.4582,0.5243
zone=70 v=4.0,4,684,0.0092295,0.0149637,0.617,-0.024335,0.0178144,1.37,6.53164e-21,1.39581e-21,4.68,213.771,57.8993,3.69,8.50568,2.30374,3.69,7.71042,0.878751,8.77,3800,440.819,8.62,8.9916e-22,2.82102e-22,3.19,1.67642e-24,2.02708e-25,8.27,4,4,-0.8138,-0.7848
