arm,n_seeds,attach_total,A_TZ,A_TZ_sem,A_TZ_sigma,mean_delta,mean_delta_sem,mean_delta_sigma,tau_Nm,tau_Nm_sem,tau_Nm_sigma,omega_rad_s,omega_rad_s_sem,omega_rad_s_sigma,turns_per_um,turns_per_um_sem,turns_per_um_sigma,avg_bound,avg_bound_sem,avg_bound_sigma,attach_rate_hz,attach_rate_hz_sem,attach_rate_hz_sigma,tau_per_attach,tau_per_attach_sem,tau_per_attach_sigma,impulse_per_attach,impulse_per_attach_sem,impulse_per_attach_sigma,sign_agree_tau,sign_agree_omega,r_ATZ_tau,r_ATZ_omega
v=+0.50 zone ON,8,1243,0.169115,0.0431584,3.92,-0.0978513,0.0171629,5.7,3.93849e-21,9.81798e-22,4.01,115.504,32.7137,3.53,36.766,10.4131,3.53,7.28366,0.620873,11.7,3452.78,237.006,14.6,-1.43064e-22,4.03104e-22,0.355,1.1207e-24,2.24696e-25,4.99,8,6,-0.6674,-0.6151
v=+1.00 zone ON,8,1316,0.256071,0.0298663,8.57,-0.146181,0.0108183,13.5,4.13568e-21,8.86208e-22,4.67,120.6,30.2401,3.99,19.1941,4.81287,3.99,7.0475,0.416574,16.9,3655.56,250.608,14.6,-6.67882e-22,3.75844e-22,1.78,1.08477e-24,1.67336e-25,6.48,8,6,-0.3136,-0.4585
v=+2.00 zone ON,8,1321,0.171448,0.0252232,6.8,-0.0925245,0.013175,7.02,4.70227e-21,7.98708e-22,5.89,134.499,28.6253,4.7,10.7031,2.27793,4.7,7.55832,0.467944,16.2,3669.44,244.893,15,-4.77829e-23,3.97585e-22,0.12,1.30434e-24,1.48782e-25,8.77,8,8,-0.1443,-0.2481
v=+4.00 zone ON,8,1372,0.209368,0.0173442,12.1,-0.10377,0.00909325,11.4,4.01755e-21,6.05288e-22,6.64,108.961,30.3691,3.59,4.33542,1.20835,3.59,6.04109,0.385786,15.7,3811.11,258.404,14.7,-7.40856e-23,1.96496e-22,0.377,1.05359e-24,8.02845e-26,13.1,8,8,0.4194,0.3911
v=+8.00 zone ON,8,1297,0.144987,0.0252619,5.74,-0.0746204,0.0145581,5.13,2.48377e-21,3.81055e-22,6.52,61.2726,22.6656,2.7,1.21898,0.450918,2.7,4.97255,0.297481,16.7,3602.78,236.354,15.2,1.99769e-22,2.47614e-22,0.807,7.10828e-25,1.02512e-25,6.93,8,8,-0.1500,0.1596
v REVERSED zone ON,8,1336,0.15291,0.0305482,5.01,0.0762334,0.0132147,5.77,3.6017e-21,3.97407e-22,9.06,111.722,11.8507,9.43,8.89053,0.943048,9.43,6.26572,0.502151,12.5,3711.11,270.866,13.7,1.17813e-21,3.73414e-22,3.16,9.01968e-25,6.77672e-26,13.3,8,8,0.7377,0.8091
